REGISTRO_ANIO;REGISTRO_NUMERO;REGISTRO_FECHA;RESPONSABLE_DOCUMENTO;MASCOTA_TIPO;MASCOTA_SEXO;MASCOTA_NOMBRE;MASCOTA_RAZA;MASCOTA_ULTIMA_VACUNA;MASCOTA_ULTIMA_DESPARACITACION;CAMPANIA;LATITUD;LONGITUD;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;FECHA_CORTE
2023;8555;20230804;05e82be34b22e3b16c8db7b88230f2647507cd0524cc3a5b272fcc3c35e953e5;PERRO;HEMBRA;KIKA;AIREDALE TERRIER;20230815;20231215;CHORRIPATITAS - LOSA PEDRO RUIZ GALLO;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8556;20230804;ec5edb975bda5cfdc53315b8a72a615d98ab5a8bc329e7537e80b27d72083163;PERRO;MACHO;MILO;JACK RUSSELL TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8557;20230804;ec5edb975bda5cfdc53315b8a72a615d98ab5a8bc329e7537e80b27d72083163;PERRO;MACHO;HANNA;JACK RUSSELL TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8558;20230804;2f339b50960d385c44412af3588f37455d361e5c4975c7adc36277a05806ff0b;PERRO;HEMBRA;AYKA;AMERICAN PIT BULL TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8559;20230804;7199094c9315a09c41343ce2493550ad6b1183e21be5da70eaa705d01864f281;PERRO;HEMBRA;MORY;PEKINES;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1861284;-77.0085402;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8560;20230804;88b32610dae6f56b11a376e6a4b25fcdf44aee0c01aecca03a7a202358da3202;PERRO;MACHO;OSO;ROTTWEILER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1861284;-77.0085402;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8561;20230804;e7aaae80ada31cb722d0fa992b753b4d065951a63e0bfb7b894f5036e158b533;PERRO;MACHO;RAYO;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1861284;-77.0085402;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8562;20230804;f8f2b250f18d895b2d4258f23c8fc4e74a6918be5b769e26d7b8b86edfb5b5e3;PERRO;MACHO;PORTOS;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1861284;-77.0085402;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8563;20230804;f8f2b250f18d895b2d4258f23c8fc4e74a6918be5b769e26d7b8b86edfb5b5e3;PERRO;MACHO;TRIPLE H;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1861284;-77.0085402;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8564;20230804;37c25f6ef9db253eee73c57e8718bd99c7898017fce18829db551fff436ebda1;PERRO;HEMBRA;WANDA;BULLDOG INGLES;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1861284;-77.0085402;LIMA;LIMA;CHORRILLOS;150102;20240422
